Date,Open,High,Low,Close,Adj Close,Volume
01-02-2019,19.309999,19.35,18.52,18.68,18.607107,59700
03-12-2019,18.67,18.950001,18.610001,18.870001,18.796366,75100
03-09-2019,18.889999,19.34,18.790001,19.25,19.174883,102200
05-02-2019,19.120001,19.129999,18.790001,18.84,18.766483,129700
04-05-2019,18.889999,18.98,18.629999,18.690001,18.617069,63800
12-03-2019,18.67,18.860001,18.35,18.459999,18.387964,132400
15-09-2019,18.52,18.58,17.26,17.549999,17.481516,286700
02-03-2019,17.530001,17.74,17.25,17.309999,17.242453,198600
24-07-2019,16.85,17.940001,16.58,17.77,17.700659,280100
02-05-2019,17.969999,18.719999,17.84,18.299999,18.228588,178500
07-11-2019,17.959999,18.74,17.959999,18.610001,18.53738,263100
31-12-2019,18.4,18.75,18.35,18.690001,18.617069,179400
13-07-2019,18.629999,19.059999,18.540001,18.74,18.666872,82700
17-11-2019,18.58,19.26,18.5,19.219999,19.144999,89700
19-01-2019,19.049999,19.5,19.049999,19.43,19.43,72800
21-02-2019,19.139999,19.59,19.02,19.43,19.43,115600
16-05-2019,19.450001,19.73,19.290001,19.370001,19.370001,102700
09-04-2019,19.18,19.76,19.02,19.549999,19.549999,81500
03-03-2019,19.6,19.879999,19.59,19.65,19.65,78900
25-06-2019,19.469999,19.959999,19.469999,19.559999,19.559999,91600
17-10-2019,19.450001,19.879999,19.42,19.610001,19.610001,92100
